Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1980
Albania,ALB,MAL,Mozambique,MOZ,0
Albania,ALB,MAL,Myanmar,MMR,5
Albania,ALB,MAL,Namibia,NAM,0
Albania,ALB,MAL,Naura,NRU,0
Albania,ALB,MAL,Nepal,NPL,0
Albania,ALB,MAL,Netherlands,NLD,105
Albania,ALB,MAL,Netherlands Antilles,ANT,0
Albania,ALB,MAL,New Caledonia,NCL,0
Albania,ALB,MAL,New Zealand,NZL,19
Albania,ALB,MAL,Nicaragua,NIC,16
Albania,ALB,MAL,Niger,NER,15
Albania,ALB,MAL,Nigeria,NGA,112
Albania,ALB,MAL,Niue,NIU,0
Albania,ALB,MAL,Norfolk Island,NFK,0
Albania,ALB,MAL,Northern Mariana Islands,MNP,0
Albania,ALB,MAL,Norway,NOR,10
Albania,ALB,MAL,Oman,OMN,0
Albania,ALB,MAL,Pakistan,PAK,6
Albania,ALB,MAL,Palau,PLW,0
Albania,ALB,MAL,Panama,PAN,0
Albania,ALB,MAL,Papua New Guinea,PNG,0
Albania,ALB,MAL,Paraguay,PRY,0
Albania,ALB,MAL,Peru,PER,0
Albania,ALB,MAL,Philippines,PHL,51
Albania,ALB,MAL,Poland,POL,42
Albania,ALB,MAL,Portugal,PRT,16
Albania,ALB,MAL,Puerto Rico,PRI,0
Albania,ALB,MAL,Qatar,QAT,5
Albania,ALB,MAL,Reunion,REU,0
Albania,ALB,MAL,Romania,ROU,449
Albania,ALB,MAL,Russian Federation,RUS,0
Albania,ALB,MAL,Rwanda,RWA,9
Albania,ALB,MAL,Saint Helena,SHN,0
Albania,ALB,MAL,Saint Pierre and Miquelon,SPM,0
Albania,ALB,MAL,Samoa,WSM,0
Albania,ALB,MAL,San Marino,SMR,0
Albania,ALB,MAL,Sao Tome and Principe,STP,0
Albania,ALB,MAL,Saudi Arabia,SAU,13
Albania,ALB,MAL,Senegal,SEN,1
Albania,ALB,MAL,Serbia,SRB,..
Albania,ALB,MAL,Serbia and Montenegro,SCG,989
Albania,ALB,MAL,Seychelles,SYC,0
Albania,ALB,MAL,Sierra Leone,SLE,1
Albania,ALB,MAL,Singapore,SGP,1
Albania,ALB,MAL,Slovak Republic,SVK,2
Albania,ALB,MAL,Slovenia,SVN,277
Albania,ALB,MAL,Solomon Islands,SLB,0
Albania,ALB,MAL,Somalia,SOM,4
Albania,ALB,MAL,South Africa,ZAF,70
Albania,ALB,MAL,Spain,ESP,103
Albania,ALB,MAL,Sri Lanka,LKA,0
Albania,ALB,MAL,St. Kitts and Nevis,KNA,0
Albania,ALB,MAL,St. Lucia,LCA,0
Albania,ALB,MAL,St. Vincent and the Grenadines,VCT,0
Albania,ALB,MAL,Sudan,SDN,0
Albania,ALB,MAL,Suriname,SUR,0
Albania,ALB,MAL,Swaziland,SWZ,0
Albania,ALB,MAL,Sweden,SWE,1152
Albania,ALB,MAL,Switzerland,CHE,2046
Albania,ALB,MAL,Syrian Arab Republic,SYR,7
Albania,ALB,MAL,"Taiwan, China",TWN,0
Albania,ALB,MAL,Tajikistan,TJK,0
Albania,ALB,MAL,Tanzania,TZA,2
Albania,ALB,MAL,Thailand,THA,106
Albania,ALB,MAL,Timor-Leste,TLS,0
Albania,ALB,MAL,Togo,TGO,20
Albania,ALB,MAL,Tokelau,TKL,0
Albania,ALB,MAL,Tonga,TON,0
Albania,ALB,MAL,Trinidad and Tobago,TTO,0
Albania,ALB,MAL,Tunisia,TUN,0
Albania,ALB,MAL,Turkey,TUR,745
Albania,ALB,MAL,Turkmenistan,TKM,0
Albania,ALB,MAL,Turks and Caicos Islands,TCA,0
Albania,ALB,MAL,Tuvalu,TUV,0
Albania,ALB,MAL,Uganda,UGA,0
Albania,ALB,MAL,Ukraine,UKR,0
Albania,ALB,MAL,United Arab Emirates,ARE,21
Albania,ALB,MAL,United Kingdom,GBR,90
Albania,ALB,MAL,United States,USA,4737
Albania,ALB,MAL,Uruguay,URY,0
Albania,ALB,MAL,Uzbekistan,UZB,0
Albania,ALB,MAL,Vanuatu,VUT,0
Albania,ALB,MAL,"Venezuela, RB",VEN,3
Albania,ALB,MAL,Vietnam,VNM,0
Albania,ALB,MAL,Virgin Islands (U.S.),VIR,0
Albania,ALB,MAL,"Virgin Islands, British",VGB,0
Albania,ALB,MAL,Wallis and Futuna,WLF,0
Albania,ALB,MAL,West Bank and Gaza,PSE,12
Albania,ALB,MAL,"Yemen, Rep.",YEM,9
